categoria,campo,normal_ocorrencias,normal_percentual,anomalo_ocorrencias,anomalo_percentual,diferenca_anomalo_menos_normal_pp,normal_metodos,anomalo_metodos,normal_formas_valores,anomalo_formas_valores,comparacao
parametro_query,query_param:provincia,2000,5.5556,2662,10.6204,5.0648,GET,GET,alfanumerico=1884; comprimento:1-8=1550; comprimento:9-32=450; contem-byte-nao-ascii=350; texto/simbolos=116; contem-espaco=116; contem-parenteses=15,alfanumerico=2330; comprimento:1-8=1925; comprimento:9-32=704; contem-byte-nao-ascii=475; texto/simbolos=328; contem-espaco=205; contem-parenteses=36; percent-encoded=34; comprimento:33-128=33; contem-aspas=28; contem-ponto-e-virgula=13; contem-marcacao-angle-brackets=11,mais frequente no anômalo
parametro_query,query_param:provinciaA,0,0.0,64,0.2553,0.2553,,GET,,alfanumerico=58; comprimento:1-8=46; comprimento:9-32=18; contem-byte-nao-ascii=11; texto/simbolos=6; contem-espaco=6; contem-parenteses=2,somente no anômalo
parametro_query,query_param:pwd,1000,2.7778,1276,5.0908,2.313,GET,GET,alfanumerico=891; comprimento:9-32=539; comprimento:1-8=461; contem-byte-nao-ascii=150; texto/simbolos=109,alfanumerico=924; comprimento:9-32=676; comprimento:1-8=552; texto/simbolos=337; contem-byte-nao-ascii=225; contem-aspas=127; comprimento:33-128=45; percent-encoded=39; contem-espaco=36; contem-ponto-e-virgula=20; contem-parenteses=18; contem-marcacao-angle-brackets=14,mais frequente no anômalo
parametro_query,query_param:pwdA,0,0.0,85,0.3391,0.3391,,GET,,alfanumerico=75; comprimento:9-32=43; comprimento:1-8=42; texto/simbolos=10; contem-byte-nao-ascii=10,somente no anômalo
parametro_query,query_param:remember,1000,2.7778,1277,5.0948,2.317,GET,GET,comprimento:1-8=1000; booleano/textual=1000,comprimento:1-8=1204; booleano/textual=1019; texto/simbolos=252; comprimento:33-128=52; percent-encoded=40; contem-aspas=39; contem-espaco=37; contem-ponto-e-virgula=24; comprimento:9-32=21; contem-parenteses=20; contem-marcacao-angle-brackets=12; email=4,mais frequente no anômalo
parametro_query,query_param:rememberA,0,0.0,84,0.3351,0.3351,,GET,,comprimento:1-8=84; booleano/textual=84,somente no anômalo
parametro_query,query_param:xmlfile,0,0.0,17,0.0678,0.0678,,GET,,comprimento:33-128=17; texto/simbolos=17,somente no anômalo
estrutura,request.http_version,36000,100.0,25065,100.0,0.0,GET|POST,GET|POST|PUT,comprimento:1-8=36000; decimal=36000,comprimento:1-8=25065; decimal=25065,presença equivalente
estrutura,request.method,36000,100.0,25065,100.0,0.0,GET|POST,GET|POST|PUT,comprimento:1-8=36000; alfanumerico=36000,comprimento:1-8=25065; alfanumerico=25065,presença equivalente
estrutura,request.target,36000,100.0,25065,100.0,0.0,GET|POST,GET|POST|PUT,url-absoluta=36000; comprimento:33-128=34000; percent-encoded=3197; comprimento:129-512=2000,url-absoluta=25065; comprimento:33-128=20449; percent-encoded=7413; comprimento:129-512=4039; comprimento:9-32=497; comprimento:>512=80,presença equivalente
estrutura,url.host,36000,100.0,25065,100.0,0.0,GET|POST,GET|POST|PUT,comprimento:9-32=36000; alfanumerico=36000,comprimento:9-32=25065; alfanumerico=25065,presença equivalente
estrutura,url.path,36000,100.0,25065,100.0,0.0,GET|POST,GET|POST|PUT,caminho=36000; comprimento:9-32=30000; comprimento:33-128=6000,caminho=25065; comprimento:9-32=20623; comprimento:33-128=4113; comprimento:1-8=329,presença equivalente
estrutura,url.port,36000,100.0,24834,99.0784,-0.9216,GET|POST,GET|POST|PUT,comprimento:1-8=36000; inteiro=36000,comprimento:1-8=24834; inteiro=24834,mais frequente no normal
estrutura,url.query,8000,22.2222,9609,38.3363,16.1141,GET,GET,texto/simbolos=8000; comprimento:33-128=4000; percent-encoded=3197; comprimento:129-512=2000; comprimento:1-8=1000; comprimento:9-32=1000,texto/simbolos=9597; percent-encoded=7413; comprimento:33-128=5110; comprimento:129-512=3051; comprimento:9-32=766; comprimento:1-8=602; comprimento:>512=80; alfanumerico=12,mais frequente no anômalo
estrutura,url.scheme,36000,100.0,25065,100.0,0.0,GET|POST,GET|POST|PUT,comprimento:1-8=36000; alfanumerico=36000,comprimento:1-8=25065; alfanumerico=25065,presença equivalente
