nome_feature,origem,tipo,descricao,forma_calculo,aplicabilidade,observacoes_limitacoes,status
body_total_value_length,body,contagem,Comprimento total dos valores. Aplicada a body.,Soma dos comprimentos dos valores decodificados.,body presente e parametrizável,"Não usa nomes específicos de parâmetros; nomes são apenas agregados por comprimento, repetição e vazio.",candidata; decisão pendente
header_has_accept,headers,binaria,Presença do header accept.,1 quando existe ao menos uma ocorrência case-insensitive de accept.,todas as requisições,Headers constantes no CSIC podem não generalizar para outros clientes e servidores.,candidata; decisão pendente
header_has_accept_charset,headers,binaria,Presença do header accept-charset.,1 quando existe ao menos uma ocorrência case-insensitive de accept-charset.,todas as requisições,Headers constantes no CSIC podem não generalizar para outros clientes e servidores.,candidata; decisão pendente
header_has_accept_encoding,headers,binaria,Presença do header accept-encoding.,1 quando existe ao menos uma ocorrência case-insensitive de accept-encoding.,todas as requisições,Headers constantes no CSIC podem não generalizar para outros clientes e servidores.,candidata; decisão pendente
header_has_accept_language,headers,binaria,Presença do header accept-language.,1 quando existe ao menos uma ocorrência case-insensitive de accept-language.,todas as requisições,Headers constantes no CSIC podem não generalizar para outros clientes e servidores.,candidata; decisão pendente
header_has_cache_control,headers,binaria,Presença do header cache-control.,1 quando existe ao menos uma ocorrência case-insensitive de cache-control.,todas as requisições,Headers constantes no CSIC podem não generalizar para outros clientes e servidores.,candidata; decisão pendente
header_has_connection,headers,binaria,Presença do header connection.,1 quando existe ao menos uma ocorrência case-insensitive de connection.,todas as requisições,Headers constantes no CSIC podem não generalizar para outros clientes e servidores.,candidata; decisão pendente
header_has_content_length,headers,binaria,Presença do header content-length.,1 quando existe ao menos uma ocorrência case-insensitive de content-length.,todas as requisições,Headers constantes no CSIC podem não generalizar para outros clientes e servidores.,candidata; decisão pendente
header_has_content_type,headers,binaria,Presença do header content-type.,1 quando existe ao menos uma ocorrência case-insensitive de content-type.,todas as requisições,Headers constantes no CSIC podem não generalizar para outros clientes e servidores.,candidata; decisão pendente
header_has_cookie,headers,binaria,Presença do header cookie.,1 quando existe ao menos uma ocorrência case-insensitive de cookie.,todas as requisições,Headers constantes no CSIC podem não generalizar para outros clientes e servidores.,candidata; decisão pendente
header_has_host,headers,binaria,Presença do header host.,1 quando existe ao menos uma ocorrência case-insensitive de host.,todas as requisições,Headers constantes no CSIC podem não generalizar para outros clientes e servidores.,candidata; decisão pendente
header_has_pragma,headers,binaria,Presença do header pragma.,1 quando existe ao menos uma ocorrência case-insensitive de pragma.,todas as requisições,Headers constantes no CSIC podem não generalizar para outros clientes e servidores.,candidata; decisão pendente
header_has_user_agent,headers,binaria,Presença do header user-agent.,1 quando existe ao menos uma ocorrência case-insensitive de user-agent.,todas as requisições,Headers constantes no CSIC podem não generalizar para outros clientes e servidores.,candidata; decisão pendente
header_unique_count,headers,contagem,Quantidade de nomes de headers distintos.,Cardinalidade case-insensitive dos nomes.,todas as requisições,,candidata; decisão pendente
header_value_count,headers,contagem,Quantidade total de linhas/valores de headers.,"Soma das ocorrências, incluindo duplicatas.",todas as requisições,,candidata; decisão pendente
header_duplicate_count,headers,contagem,Ocorrências duplicadas de headers.,Total de valores além da primeira ocorrência de cada nome.,todas as requisições,,candidata; decisão pendente
content_type_is_form_urlencoded,headers,binaria,Content-Type de formulário URL-encoded.,1 quando o media type é application/x-www-form-urlencoded; ausente sem Content-Type.,header/componente correspondente presente,,candidata; decisão pendente
content_length_valid,headers,binaria,Content-Length inteiro não negativo.,1 quando o valor pode ser convertido para inteiro >= 0; ausente sem header.,header/componente correspondente presente,,candidata; decisão pendente
content_length_declared,headers,contagem,Comprimento de corpo declarado.,Valor inteiro do Content-Length; ausente quando inválido ou inexistente.,header/componente correspondente presente,,candidata; decisão pendente
body_length_bytes,headers,contagem,Comprimento real do body em bytes.,len(body).,todas as requisições,,candidata; decisão pendente
content_length_delta,headers,contagem_assinada,Diferença entre tamanho real e declarado.,len(body) - Content-Length; ausente sem declaração válida.,header/componente correspondente presente,,candidata; decisão pendente
content_length_matches_body,headers,binaria,Coerência entre tamanho declarado e real.,1 quando Content-Length == len(body); ausente sem declaração válida.,header/componente correspondente presente,,candidata; decisão pendente
user_agent_length,headers,contagem,Comprimento do primeiro User-Agent.,Número de caracteres; ausente sem User-Agent.,header/componente correspondente presente,Pode refletir peculiaridades do gerador CSIC; validar em tráfego real.,candidata; decisão pendente
user_agent_token_count,headers,contagem,Quantidade aproximada de tokens no User-Agent.,Partes não vazias separadas por espaços.,header/componente correspondente presente,Pode refletir peculiaridades do gerador CSIC; validar em tráfego real.,candidata; decisão pendente
user_agent_parenthesis_count,headers,contagem,Parênteses no User-Agent.,Contagem de '(' e ')'.,header/componente correspondente presente,Pode refletir peculiaridades do gerador CSIC; validar em tráfego real.,candidata; decisão pendente
host_header_length,headers,contagem,Comprimento do primeiro Host.,Número de caracteres; ausente sem Host.,header/componente correspondente presente,,candidata; decisão pendente
host_header_port_present,headers,binaria,Porta explícita no header Host.,1 quando Host contém componente de porta; ausente sem Host.,header/componente correspondente presente,,candidata; decisão pendente
host_header_port_valid,headers,binaria,Porta válida no header Host.,1 para porta inteira entre 0 e 65535; ausente sem porta explícita.,header/componente correspondente presente,,candidata; decisão pendente
host_matches_url_host,headers,binaria,Coerência entre Host e hostname da URL.,1 quando os hostnames coincidem sem considerar caixa; ausente quando algum não existe.,header/componente correspondente presente,,candidata; decisão pendente
cookie_length,headers,contagem,Comprimento total dos headers Cookie.,Soma dos comprimentos; ausente sem Cookie.,header/componente correspondente presente,Pode refletir peculiaridades do gerador CSIC; validar em tráfego real.,candidata; decisão pendente
cookie_pair_count,headers,contagem,Quantidade aproximada de pares em Cookie.,Número de partes não vazias separadas por ';'.,header/componente correspondente presente,Pode refletir peculiaridades do gerador CSIC; validar em tráfego real.,candidata; decisão pendente
